date,nav,daily_return
2021-09-14,1.5778921248,-0.0093693546
2021-09-15,1.5761049831,-0.0011326133
2021-09-16,1.5582227271,-0.0113458533
2021-09-17,1.5603928273,0.0013926765
2021-09-22,1.5588854949,-0.0009659955
2021-09-23,1.5653429777,0.0041423714
2021-09-24,1.5532208775,-0.0077440538
2021-09-27,1.5402048227,-0.0083800411
2021-09-28,1.542917529,0.0017612634
2021-09-29,1.5240079506,-0.0122557286
2021-09-30,1.5350229203,0.0072276327
2021-10-08,1.5424524839,0.0048400343
2021-10-11,1.5438190389,0.0008859624
2021-10-12,1.5268899427,-0.0109657257
2021-10-13,1.5338687245,0.004570586
2021-10-14,1.5328444594,-0.0006677658
2021-10-15,1.5373238476,0.0029222719
2021-10-18,1.5359433004,-0.0008980198
2021-10-19,1.5462847536,0.0067329655
2021-10-20,1.5454413918,-0.0005454117
2021-10-21,1.5449505977,-0.0003175754
2021-10-22,1.5435865045,-0.0008829364
2021-10-25,1.5493151206,0.0037112375
2021-10-26,1.5442157044,-0.0032914002
2021-10-27,1.5309215575,-0.0086089961
2021-10-28,1.5209760962,-0.0064963886
2021-10-29,1.5289936988,0.0052713535
2021-11-01,1.5322856777,0.0021530363
2021-11-02,1.5189985511,-0.0086714422
2021-11-03,1.5215133984,0.0016555956
2021-11-04,1.5284945118,0.0045882694
2021-11-05,1.5205294863,-0.0052110266
2021-11-08,1.5235833903,0.0020084478
2021-11-09,1.5273982198,0.0025038534
2021-11-10,1.5273968766,-8.794e-07
2021-11-11,1.5423848329,0.0098127451
2021-11-12,1.5430570335,0.000435819
2021-11-15,1.5426975161,-0.0002329904
2021-11-16,1.5421362402,-0.0003638275
2021-11-17,1.5445181291,0.0015445385
2021-11-18,1.5344551234,-0.0065153044
2021-11-19,1.5423272246,0.0051302258
2021-11-22,1.5469591139,0.003003182
2021-11-23,1.5461784807,-0.0005046244
2021-11-24,1.5482410476,0.0013339772
2021-11-25,1.5444777739,-0.0024306768
2021-11-26,1.5339772235,-0.0067987708
2021-11-29,1.5316970801,-0.0014864258
2021-11-30,1.528780992,-0.0019038282
2021-12-01,1.5320009849,0.0021062487
2021-12-02,1.5296432946,-0.0015389613
2021-12-03,1.5344716717,0.0031565379
2021-12-06,1.5278608054,-0.0043082362
2021-12-07,1.5346437701,0.0044395175
2021-12-08,1.5462675558,0.0075742566
2021-12-09,1.5559257583,0.0062461393
2021-12-10,1.5535042627,-0.0015563054
2021-12-13,1.5566417549,0.0020196226
2021-12-14,1.5497835421,-0.0044057746
2021-12-15,1.5443605473,-0.003499195
2021-12-16,1.552454446,0.0052409386
2021-12-17,1.5401166127,-0.0079473078
2021-12-20,1.5230549988,-0.0110781312
2021-12-21,1.536755797,0.008995603
2021-12-22,1.540454949,0.0024071177
2021-12-23,1.5424114054,0.001270051
2021-12-24,1.5376314596,-0.0030990084
2021-12-27,1.5376811582,3.23216e-05
2021-12-28,1.541607436,0.0025533757
2021-12-29,1.5316094919,-0.006485402
2021-12-30,1.5427939027,0.0073023906
2021-12-31,1.5514322641,0.0055991674
2022-01-04,1.5518444287,0.0002656671
2022-01-05,1.5387882626,-0.0084133215
2022-01-06,1.5366605573,-0.0013827148
2022-01-07,1.5365247401,-8.83846e-05
2022-01-10,1.5417789733,0.0034195565
2022-01-11,1.5384054889,-0.0021880467
2022-01-12,1.5490007952,0.0068872001
2022-01-13,1.5356282328,-0.0086330249
2022-01-14,1.5305882146,-0.0032820562
2022-01-17,1.5371854132,0.0043102374
2022-01-18,1.5379340482,0.0004870167
2022-01-19,1.5351830952,-0.0017887327
2022-01-20,1.5383873166,0.0020871917
2022-01-21,1.526213935,-0.0079130798
2022-01-24,1.5234882405,-0.001785919
2022-01-25,1.4954510689,-0.018403274
2022-01-26,1.4986288084,0.0021249371
2022-01-27,1.4775123355,-0.0140905292
2022-01-28,1.4714831419,-0.0040806384
2022-02-07,1.4907347853,0.0130831559
2022-02-08,1.495373914,0.0031119745
2022-02-09,1.5092775862,0.0092977897
2022-02-10,1.5113183296,0.0013521326
2022-02-11,1.5017395271,-0.0063380443
2022-02-14,1.4879899866,-0.0091557426
2022-02-15,1.4943024501,0.0042422756
2022-02-16,1.4997532595,0.0036477283
2022-02-17,1.4984390219,-0.0008763025
2022-02-18,1.50168862,0.0021686555
2022-02-21,1.5016433849,-3.01228e-05
2022-02-22,1.4861041331,-0.0103481638
2022-02-23,1.4961298231,0.0067462904
2022-02-24,1.4740233234,-0.0147757898
2022-02-25,1.4811484257,0.0048337785
2022-02-28,1.4830944118,0.001313836
2022-03-01,1.4876459171,0.0030689249
2022-03-02,1.4843598581,-0.0022088986
2022-03-03,1.4811547093,-0.0021592802
2022-03-04,1.470791509,-0.0069967035
2022-03-07,1.4459992862,-0.0168563815
2022-03-08,1.4201862441,-0.0178513519
2022-03-09,1.4096943384,-0.007387697
2022-03-10,1.4219918967,0.0087235637
2022-03-11,1.4257030325,0.002609815
2022-03-14,1.3980575254,-0.0193907893
2022-03-15,1.3520424828,-0.0329135546
2022-03-16,1.3957957589,0.0323608737
2022-03-17,1.4194960023,0.0169797359
2022-03-18,1.428945725,0.0066570971
2022-03-21,1.4279631613,-0.0006876144
2022-03-22,1.4360253502,0.0056459362
2022-03-23,1.4424017349,0.0044403009
2022-03-24,1.4364402156,-0.0041330506
2022-03-25,1.4222288289,-0.0098934759
2022-03-28,1.4253004986,0.0021597577
2022-03-29,1.4261417105,0.0005901997
2022-03-30,1.4438130403,0.0123910055
2022-03-31,1.4380952867,-0.0039601759
2022-04-01,1.4466750532,0.0059660626
2022-04-06,1.4490951236,0.00167285
2022-04-07,1.4320247665,-0.0117800114
2022-04-08,1.4326529093,0.0004386396
2022-04-11,1.4061378444,-0.0185076684
2022-04-12,1.419561096,0.0095461847
2022-04-13,1.4109817941,-0.0060436299
2022-04-14,1.4223345526,0.0080459993
2022-04-15,1.419665866,-0.0018762721
2022-04-18,1.4141439457,-0.0038895915
2022-04-19,1.4080919209,-0.0042796384
2022-04-20,1.3947925326,-0.0094449717
2022-04-21,1.3739936612,-0.014911803
2022-04-22,1.3754879265,0.0010875344
2022-04-25,1.3295149558,-0.0334230275
2022-04-26,1.322040519,-0.0056219276
2022-04-27,1.3420297302,0.0151199687
2022-04-28,1.345034015,0.0022386127
2022-04-29,1.3810823159,0.0268010329
2022-05-05,1.3783139915,-0.0020044601
2022-05-06,1.3547223557,-0.0171163
2022-05-09,1.3561889077,0.0010825481
2022-05-10,1.3616713694,0.0040425501
2022-05-11,1.3711908106,0.0069909976
2022-05-12,1.3675682965,-0.0026418746
2022-05-13,1.3813839117,0.0101023219
2022-05-16,1.3789129971,-0.001788724
2022-05-17,1.3882925296,0.0068021206
2022-05-18,1.3834730299,-0.0034715304
2022-05-19,1.3813797301,-0.0015130759
2022-05-20,1.3993907827,0.0130384515
2022-05-23,1.3967208794,-0.001907904
2022-05-24,1.3690813996,-0.0197888356
2022-05-25,1.3788315023,0.0071216384
2022-05-26,1.3852782239,0.0046754963
2022-05-27,1.3923378171,0.0050961555
2022-05-30,1.3997762306,0.0053423913
2022-05-31,1.4119169216,0.0086733085
2022-06-01,1.4092498621,-0.0018889635
2022-06-02,1.4107371213,0.0010553553
2022-06-06,1.4301764221,0.0137795344
2022-06-07,1.4333244878,0.002201173
2022-06-08,1.4464738624,0.0091740389
2022-06-09,1.4360629939,-0.0071974122
2022-06-10,1.448026567,0.0083308136
2022-06-13,1.4324359829,-0.0107667804
2022-06-14,1.4403062764,0.0054943422
2022-06-15,1.4502212127,0.0068839083
2022-06-16,1.4414810337,-0.0060267902
2022-06-17,1.4511868753,0.0067332427
2022-06-20,1.4551962155,0.0027628008
2022-06-21,1.4566197247,0.0009782249
2022-06-22,1.438495609,-0.0124425857
2022-06-23,1.4546758151,0.0112480052
2022-06-24,1.4696364371,0.0102845059
2022-06-27,1.4833133242,0.0093063064
2022-06-28,1.4927756621,0.0063791902
2022-06-29,1.4781799185,-0.0097775868
2022-06-30,1.4883689496,0.0068929573
2022-07-01,1.4846920004,-0.0024704555
2022-07-04,1.4952132781,0.0070865053
2022-07-05,1.4928399674,-0.0015872724
2022-07-06,1.479039095,-0.0092447099
2022-07-07,1.4795316647,0.0003330336
2022-07-08,1.479739094,0.0001401993
2022-07-11,1.4610456471,-0.0126329344
2022-07-12,1.4491257539,-0.0081584673
2022-07-13,1.4494417389,0.0002180522
2022-07-14,1.4506719704,0.0008487623
2022-07-15,1.4333688017,-0.0119276922
2022-07-18,1.4490411177,0.0109339034
2022-07-19,1.4496190138,0.0003988128
2022-07-20,1.4582004521,0.0059197887
2022-07-21,1.4504888872,-0.0052884121
2022-07-22,1.4451013774,-0.0037142717
2022-07-25,1.4400732606,-0.0034794215
2022-07-26,1.4504142361,0.0071808676
2022-07-27,1.4479346891,-0.001709544
2022-07-28,1.4487880168,0.0005893413
2022-07-29,1.4325909102,-0.011179763
2022-08-01,1.4357302953,0.0021914038
2022-08-02,1.4108390636,-0.017336983
2022-08-03,1.4077846022,-0.0021649963
2022-08-04,1.4195983886,0.008391757
2022-08-05,1.4332216647,0.0095965706
2022-08-08,1.4344848476,0.0008813591
2022-08-09,1.4337398232,-0.0005193672
2022-08-10,1.424592065,-0.0063803474
2022-08-11,1.4464138301,0.0153179044
2022-08-12,1.4480573968,0.0011363046
2022-08-15,1.4458843096,-0.0015006914
2022-08-16,1.4441881376,-0.0011731035
2022-08-17,1.4502129761,0.0041717823
2022-08-18,1.441789571,-0.0058083918
2022-08-19,1.4373261185,-0.0030957725
2022-08-22,1.4430258285,0.0039654953
2022-08-23,1.4409356007,-0.0014485034
2022-08-24,1.4207324492,-0.0140208566
2022-08-25,1.4372843528,0.0116502608
2022-08-26,1.4362952465,-0.0006881771
2022-08-29,1.4346379641,-0.0011538592
2022-08-30,1.4318617373,-0.001935141
2022-08-31,1.4270083144,-0.0033895891
2022-09-01,1.419676301,-0.0051380313
2022-09-02,1.4180370577,-0.0011546599
2022-09-05,1.4157785915,-0.0015926708
2022-09-06,1.4250461054,0.006545878
2022-09-07,1.4230467243,-0.0014030291
2022-09-08,1.4178563539,-0.0036473647
2022-09-09,1.4313882243,0.0095438938
2022-09-13,1.427537305,-0.0026903388
