type,date,name,code,close,pct_change,note
index,2026-07-29,上证指数,000001,3828.47,0.4,回填历史
index,2026-07-29,中证消费,000932,12833.01,1.34,回填历史
index,2026-07-29,创业板指,399006,3378.7,1.55,回填历史
us_index,2026-07-29,美股道指DIA,DIA,515.41,-2.18,美股收盘(回填历史)
index,2026-07-29,恒生指数,HSI,25807.92,1.96,回填历史
index,2026-07-29,恒生科技,HSTECH,4864.73,2.84,回填历史
us_index,2026-07-29,美股医疗ETF(IYH),IYH,69.87,-0.6,美股收盘(回填历史)
us_index,2026-07-29,美股纳指100QQQ,QQQ,661.73,-2.04,美股收盘(回填历史)
us_index,2026-07-29,美股医疗保健XLV,XLV,166.24,-0.61,美股收盘(回填历史)
index,2026-07-29,十年国债收益率,十年国债收益率,1.7329,0,回填历史
index,2026-07-30,上证指数,000001,3804.69,-0.62,回填历史
index,2026-07-30,中证消费,000932,13146.31,2.44,回填历史
index,2026-07-30,创业板指,399006,3244.62,-3.97,回填历史
us_index,2026-07-30,美股道指DIA,DIA,521.51,1.18,美股收盘(回填历史)
index,2026-07-30,恒生指数,HSI,25858.88,0.2,回填历史
index,2026-07-30,恒生科技,HSTECH,4803.77,-1.25,回填历史
us_index,2026-07-30,美股医疗ETF(IYH),IYH,68.82,-1.5,美股收盘(回填历史)
us_index,2026-07-30,美股纳指100QQQ,QQQ,683.55,3.3,美股收盘(回填历史)
us_index,2026-07-30,美股医疗保健XLV,XLV,163.52,-1.64,美股收盘(回填历史)
index,2026-07-30,十年国债收益率,十年国债收益率,1.7196,0,回填历史
index,2026-07-31,上证指数,000001,3832.26,0.72,回填历史
index,2026-07-31,中证消费,000932,13038.21,-0.82,回填历史
index,2026-07-31,创业板指,399006,3343.96,3.06,回填历史
us_index,2026-07-31,美股道指DIA,DIA,524.32,0.54,美股收盘(回填历史)
index,2026-07-31,恒生指数,HSI,25884.43,0.1,回填历史
index,2026-07-31,恒生科技,HSTECH,4829.22,0.53,回填历史
us_index,2026-07-31,美股医疗ETF(IYH),IYH,68.34,-0.7,美股收盘(回填历史)
us_index,2026-07-31,美股纳指100QQQ,QQQ,687.99,0.65,美股收盘(回填历史)
us_index,2026-07-31,美股医疗保健XLV,XLV,162.55,-0.59,美股收盘(回填历史)
index,2026-07-31,十年国债收益率,十年国债收益率,1.7141,0,回填历史
index,2026-08-03,上证指数,000001,3809.66,-0.59,回填历史
index,2026-08-03,中证消费,000932,12991.95,-0.35,回填历史
index,2026-08-03,创业板指,399006,3302.55,-1.24,回填历史
us_index,2026-08-03,美股道指DIA,DIA,531.22,1.32,美股收盘(回填历史)
index,2026-08-03,恒生指数,HSI,26009.4,0.48,回填历史
index,2026-08-03,恒生科技,HSTECH,4875.61,0.96,回填历史
us_index,2026-08-03,美股医疗ETF(IYH),IYH,68.24,-0.15,美股收盘(回填历史)
us_index,2026-08-03,美股纳指100QQQ,QQQ,700.07,1.76,美股收盘(回填历史)
us_index,2026-08-03,美股医疗保健XLV,XLV,162.24,-0.19,美股收盘(回填历史)
index,2026-08-03,十年国债收益率,十年国债收益率,1.7169,0,回填历史
index,2026-08-04,上证指数,000001,3822.28,0.33,回填历史
index,2026-08-04,中证消费,000932,12749.4,-1.87,回填历史
index,2026-08-04,创业板指,399006,3488.97,5.64,回填历史
us_index,2026-08-04,美股道指DIA,DIA,540.43,1.73,美股收盘(回填历史)
index,2026-08-04,恒生指数,HSI,25852.92,-0.6,回填历史
index,2026-08-04,恒生科技,HSTECH,4885.61,0.21,回填历史
us_index,2026-08-04,美股医疗ETF(IYH),IYH,68.24,0.0,美股收盘(回填历史)
us_index,2026-08-04,美股纳指100QQQ,QQQ,723.85,3.4,美股收盘(回填历史)
us_index,2026-08-04,美股医疗保健XLV,XLV,162.1,-0.09,美股收盘(回填历史)
index,2026-08-04,十年国债收益率,十年国债收益率,1.7126,0,回填历史
index,2026-08-05,上证指数,000001,3878.43,1.47,回填历史
index,2026-08-05,中证消费,000932,12654.42,-0.74,回填历史
index,2026-08-05,创业板指,399006,3535.14,1.32,回填历史
index,2026-08-05,十年国债收益率,CN10Y,1.7,0.0,中债/财联社
us_index,2026-08-05,美股道指DIA,DIA,542.81,0.44,美股收盘(回填历史)
index,2026-08-05,恒生指数,HSI,25915.82,0.24,回填历史
index,2026-08-05,恒生科技,HSTECH,4933.07,0.97,回填历史
us_index,2026-08-05,美股医疗ETF(IYH),IYH,69.1,1.26,美股收盘(回填历史)
us_index,2026-08-05,美股纳指100QQQ,QQQ,717.3,-0.9,美股收盘(回填历史)
us_index,2026-08-05,美股医疗保健XLV,XLV,164.16,1.27,美股收盘(回填历史)
index,2026-08-05,十年国债收益率,十年国债收益率,1.7137,0,回填历史
index,2026-08-06,上证指数,000001,3870.6,-0.2,盘中13:45
index,2026-08-06,上证指数,000001,3900.35,0.57,收盘20:00
index,2026-08-06,上证指数,000001,3900.352,0.57,盘前确认收盘
index,2026-08-06,上证指数,000001,3900.35,0.57,回填历史
index,2026-08-06,中证消费,000932,12590.788,-0.5,盘前确认收盘
index,2026-08-06,中证消费,000932,12590.79,-0.5,回填历史
index,2026-08-06,创业板指,399006,3483.56,-1.46,盘中13:45
index,2026-08-06,创业板指,399006,3515.56,-0.55,收盘20:00
index,2026-08-06,创业板指,399006,3515.56,-0.55,盘前确认收盘
index,2026-08-06,创业板指,399006,3515.56,-0.55,回填历史
index,2026-08-06,中证消费,399932,12538.43,-0.92,盘中13:45
index,2026-08-06,中证消费,399932,12590.79,-0.5,收盘20:00
us_index,2026-08-06,道指ETF,DIA,538.19,-0.85,盘前美股收盘
us_index,2026-08-06,美股道指DIA,DIA,538.19,-0.85,美股收盘(回填历史)
index,2026-08-06,恒生指数,HSI,25530.28,-1.49,收盘20:00
index,2026-08-06,恒生指数,HSI,25530.28,-1.49,回填历史
index,2026-08-06,恒生科技,HSTECH,4816.34,-2.37,盘中13:45
index,2026-08-06,恒生科技指数,HSTECH,4820.78,-2.28,收盘20:00
index,2026-08-06,恒生科技,HSTECH,4820.78,-2.28,回填历史
us_index,2026-08-06,医疗ETF(iShares),IYH,69.24,0.2,盘前美股收盘
us_index,2026-08-06,美股医疗ETF(IYH),IYH,69.24,0.2,美股收盘(回填历史)
us_index,2026-08-06,纳指100ETF,QQQ,714.65,-0.37,盘前美股收盘
us_index,2026-08-06,美股纳指100QQQ,QQQ,714.65,-0.37,美股收盘(回填历史)
us_index,2026-08-06,医疗保健精选ETF,XLV,164.45,0.18,盘前美股收盘
us_index,2026-08-06,美股医疗保健XLV,XLV,164.45,0.18,美股收盘(回填历史)
index,2026-08-06,医药生物板块,pt01801150,7720.53,-0.69,盘中
index,2026-08-06,十年国债收益率,十年国债收益率,1.7143,0,回填历史
index,2026-08-07,上证指数,000001,3930.47,0.77,盘中13:45
index,2026-08-07,上证指数,000001,3940.04,1.02,收盘20:00
index,2026-08-07,上证指数,000001,3940.04,1.02,回填历史
index,2026-08-07,中证消费,000932,12585.17,-0.04,盘中13:45
index,2026-08-07,中证消费,000932,12624.3,0.27,收盘20:00
